ABL1	CGC
ABL2	CGC
AKT1	CGC
AKT2	CGC
ALDH2	CGC
ALK	CGC
APC	CGC
BIRC3	CGC
FAS	CGC
RHOH	CGC
ARNT	CGC
ATF1	CGC
ATIC	CGC
ATM	CGC
ATP1A1	CGC
ATP2B3	CGC
ATRX	CGC
CCND1	CGC
BCL2	CGC
BCL3	CGC
BCL5	CGC
BCL6	CGC
BCL7A	CGC
BCL9	CGC
TNFRSF17	CGC
BCR	CGC
PRDM1	CGC
BLM	CGC
BMPR1A	CGC
FOXL2	CGC
BRCA1	CGC
BRAF	CGC
BRCA2	CGC
BTG1	CGC
BUB1B	CGC
CACNA1D	CGC
CALR	CGC
CARS	CGC
CASP8	CGC
RUNX1	CGC
RUNX1T1	CGC
CBFA2T3	CGC
CBFB	CGC
CBL	CGC
CBLB	CGC
CCND2	CGC
CCND3	CGC
CCNE1	CGC
CD74	CGC
CD79A	CGC
CD79B	CGC
CDH1	CGC
CDH11	CGC
CDK4	CGC
CDK6	CGC
CDKN2A	CGC
CDKN2C	CGC
CDX2	CGC
CEBPA	CGC
CHN1	CGC
CLTC	CGC
COL1A1	CGC
KLF6	CGC
COX6C	CGC
CREB1	CGC
CREBBP	CGC
CSF3R	CGC
CTNNB1	CGC
CYLD	CGC
DAXX	CGC
DDB2	CGC
DDIT3	CGC
DDX5	CGC
DDX6	CGC
DDX10	CGC
DNM2	CGC
DNMT3A	CGC
EBF1	CGC
EGFR	CGC
EIF4A2	CGC
ELF4	CGC
ELK4	CGC
ELN	CGC
EP300	CGC
EPS15	CGC
ERBB2	CGC
ERCC2	CGC
ERCC3	CGC
ERCC4	CGC
ERCC5	CGC
ERG	CGC
ETV1	CGC
ETV4	CGC
ETV5	CGC
ETV6	CGC
MECOM	CGC
EWSR1	CGC
EXT1	CGC
EXT2	CGC
EZH2	CGC
FANCA	CGC
FANCC	CGC
FANCD2	CGC
FANCE	CGC
ACSL3	CGC
FANCF	CGC
FANCG	CGC
FCGR2B	CGC
FGFR1	CGC
FGFR3	CGC
FGFR2	CGC
FH	CGC
FHIT	CGC
FOXO1	CGC
FOXO3	CGC
FLI1	CGC
